Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters,Growth Status,Revenue per Employee,Growth Rate Category,Revenue Share by Industry
91.0,Capital One Financial,Financials,49484.0,0.29,51987.0,"Richmond, Virginia",Positive,0.9518533479523728,Stable,0.4044591862314521
92.0,Plains All American Pipeline,Petroleum industry,48712.0,-0.151,4200.0,"Houston, Texas",Negative,11.598095238095238,Declining,0.3981492175189252
93.0,World Kinect Corporation,Energy trading,47711.0,-0.192,5289.0,"Doral, Florida",Negative,9.020797882397428,Declining,0.3899675093826047
94.0,AIG,Insurance,46802.0,-0.171,25200.0,"New York City, New York",Negative,1.8572222222222223,Declining,0.3825377664296423
95.0,Coca-Cola,Beverage,45754.0,0.064,79100.0,"Atlanta, Georgia",Positive,0.5784323640960809,Stable,0.37397190216704107
96.0,TIAA,Financials,45735.0,0.11800000000000001,16023.0,"New York City, New York",Positive,2.854334394308182,Stable,0.3738166050096084
97.0,CHS,Agriculture cooperative,45590.0,-0.046,10609.0,"Inver Grove Heights, Minnesota",Negative,4.297294749740786,Declining,0.3726314424923592
98.0,Bristol-Myers Squibb,Pharmaceutical industry,45006.0,-0.025,34100.0,"New York City, New York",Negative,1.3198240469208211,Declining,0.3678580982849554
99.0,Dow Chemical Company,Chemical industry,44622.0,-0.21600000000000003,35900.0,"Midland, Michigan",Negative,1.2429526462395544,Declining,0.3647194609978954
100.0,Best Buy,Retail,43452.0,-0.061,85000.0,"Richfield, Minnesota",Negative,0.5112,Declining,0.35515642551388443
